date;prim_capt;sec_capt;all_capt;time_interval;time_interval2;
1;15/03/1994;1;1;1;1;0
2;16/03/1994;1;2;2;1;1
3;17/03/1994;1;3;3;1;2
4;22/03/1994;2;1;4;5;7
5;23/03/1994;2;2;5;1;8
6;24/03/1994;2;3;6;1;9
7;04/05/1994;3;1;7;41;50
8;05/05/1994;3;2;8;1;51
9;06/05/1994;3;3;9;1;52
10;09/06/1994;4;1;10;34;86
11;10/06/1994;4;2;11;1;87
12;11/06/1994;4;3;12;1;88
13;28/06/1994;5;1;13;17;105
14;29/06/1994;5;2;14;1;106
15;30/06/1994;5;3;15;1;107
16;19/07/1994;6;1;16;19;126
17;20/07/1994;6;2;17;1;127
18;21/07/1994;6;3;18;1;128
19;26/07/1994;7;1;19;5;133
20;27/07/1994;7;2;20;1;134
21;28/07/1994;7;3;21;1;135
22;06/09/1994;8;1;22;40;175
23;07/09/1994;8;2;23;1;176
24;08/09/1994;8;3;24;1;177
25;04/10/1994;9;1;25;26;203
26;05/10/1994;9;2;26;1;204
27;06/10/1994;9;3;27;1;205
28;02/11/1994;10;1;28;27;232
29;03/11/1994;10;2;29;1;233
30;04/11/1994;10;3;30;1;234
31;15/11/1994;11;1;31;11;245
32;16/11/1994;11;2;32;1;246
33;17/11/1994;11;3;33;1;247
34;13/12/1994;12;1;34;26;273
35;14/12/1994;12;2;35;1;274
36;15/12/1994;12;3;36;1;275
37;10/01/1995;13;1;37;26;301
38;11/01/1995;13;2;38;1;302
39;12/01/1995;13;3;39;1;303
40;07/02/1995;14;1;40;26;329
41;08/02/1995;14;2;41;1;330
42;09/02/1995;14;3;42;1;331
43;02/03/1995;15;1;43;21;352
44;03/03/1995;15;2;44;1;353
45;04/03/1995;15;3;45;1;354
46;04/04/1995;16;1;46;31;385
47;05/04/1995;16;2;47;1;386
48;06/04/1995;16;3;48;1;387
49;02/05/1995;17;1;49;26;413
50;03/05/1995;17;2;50;1;414
51;04/05/1995;17;3;51;1;415
52;30/05/1995;18;1;52;26;441
53;31/05/1995;18;2;53;1;442
54;01/06/1995;18;3;54;1;443
55;01/08/1995;19;1;55;61;504
56;02/08/1995;19;2;56;1;505
57;03/08/1995;19;3;57;1;506
58;06/08/1995;20;1;58;3;509
59;07/08/1995;20;2;59;1;510
60;08/08/1995;20;3;60;1;511
61;12/09/1995;21;1;61;35;546
62;13/09/1995;21;2;62;1;547
63;14/09/1995;21;3;63;1;548
64;27/09/1995;22;1;64;13;561
65;28/09/1995;22;2;65;1;562
66;29/09/1995;22;3;66;1;563
67;27/10/1995;23;1;67;28;591
68;28/10/1995;23;2;68;1;592
69;29/10/1995;23;3;69;1;593
70;22/11/1995;24;1;70;24;617
71;23/11/1995;24;2;71;1;618
72;24/11/1995;24;3;72;1;619
73;19/12/1995;25;1;73;25;644
74;20/12/1995;25;2;74;1;645
75;21/12/1995;25;3;75;1;646
76;16/01/1996;26;1;76;26;672
77;17/01/1996;26;2;77;1;673
78;18/01/1996;26;3;78;1;674
79;13/02/1996;27;1;79;26;700
80;14/02/1996;27;2;80;1;701
81;15/02/1996;27;3;81;1;702
82;18/02/1996;28;1;82;3;705
