NUMBER	DATE	GRID	SPECIES	X	Y	WEIGHT	TOE	SX	SEXCON	FLAGS
1	15/03/1994	MOSA	MN	15	I	34	1//110	F	CSN	      
2	15/03/1994	MOSA	MN	18	I	33	1//120	M	SV	      
3	15/03/1994	MOSA	MN	20	J	22	1//130	F	CSN	      
4	15/03/1994	MOSA	MN	11	B	36	1//15	M	SV	      
5	15/03/1994	MOSA	MN	15	B	38	1//16	M	SV	      
6	15/03/1994	MOSA	TA	18	B	69	1//17	F	CSN	      
7	15/03/1994	MOSA	MN	20	H	27	1//18	F	CSN	     CON  
8	16/03/1994	MOSA	MN	11	F	40	1//14	M	SV	      
9	16/03/1994	MOSA	MN	18	J	37	1//150	M	SV	      
10	16/03/1994	MOSA	MN	20	J	40	1//160	M	SV	      
11	16/03/1994	MOSA	MN	15	F	29	1//18	F	CSN	     CON  
12	17/03/1994	MOSA	MN	11	F	24	1//110	F	CSN	      
13	17/03/1994	MOSA	MN	11	B	32	1//15	M	SV	      
14	17/03/1994	MOSA	MN	20	J	34	1//150	M	SV	      
15	17/03/1994	MOSA	MN	20	H	32	1//160	M	SV	      
16	17/03/1994	MOSA	MN	15	F	29	1//18	F	CSN	     CON  
17	22/03/1994	MOSA	MN	16	E	40	1//1100	M	SV	      
18	22/03/1994	MOSA	MN	19	G	41	1//18	F	CSN	     CON  
19	22/03/1994	MOSA	MN	14	A	76	1//210	M	SV	      
20	22/03/1994	MOSA	TA	15	A	81	1//220	F	CSN	      
21	22/03/1994	MOSA	TA	20	J	83	1//230	M	SV	      
22	22/03/1994	MOSA	TA	21	H	79	1//240	F	CSN	      
23	22/03/1994	MOSA	MN	6	I	27	1//25	F	CSN	      
24	22/03/1994	MOSA	TA	22	G	92	1//250	M	SV	      
25	22/03/1994	MOSA	TA	7	A	62	1//26	F	PSN	      
26	22/03/1994	MOSA	TA	22	J	78	1//260	F	CSN	      
27	22/03/1994	MOSA	TA	8	D	93	1//27	M	SV	      
28	22/03/1994	MOSA	MN	25	I	45	1//270	F	CSN	      
29	22/03/1994	MOSA	MN	13	J	47	1//28	M	SV	      
30	23/03/1994	MOSA	MN	8	D	31	1//110	F	PSN	      
31	23/03/1994	MOSA	MN	9	H	42	1//140	M	SV	      
32	23/03/1994	MOSA	MN	9	D	38	1//15	M	SV	      
33	23/03/1994	MOSA	MN	11	I	34	1//2100	M	SV	      
34	23/03/1994	MOSA	MN	24	F	34	1//270	F	PSN	      
35	23/03/1994	MOSA	MN	12	I	34	1//28	M	SV	      
36	23/03/1994	MOSA	TA	6	C	75	1//280	M	SV	      
37	23/03/1994	MOSA	TA	10	B	66	1//290	M	SV	      
38	23/03/1994	MOSA	MN	16	J	33	1//35	F	CSN	      
39	23/03/1994	MOSA	MN	20	H	32	1//36	M	SV	      
40	23/03/1994	MOSA	MN	22	I	43	1//37	M	SV	      
41	23/03/1994	MOSA	MN	27	B	49	1//38	M	SV	      
42	23/03/1994	MOSA	MN	21	J	55	1//650	M	SV	      
43	24/03/1994	MOSA	MN	20	J	29	1//130	F	PSN	      
44	24/03/1994	MOSA	MN	11	D	38	1//140	M	SV	      
45	24/03/1994	MOSA	MN	20	H	30	1//18	F	CSN	     CON  
46	24/03/1994	MOSA	TA	21	I	62	1//240	F	CSN	      
47	24/03/1994	MOSA	MN	25	J	34	1//270	F	PSN	      
48	24/03/1994	MOSA	MN	6	A	41	1//310	M	SV	      
49	24/03/1994	MOSA	MN	16	J	46	1//320	M	SV	      
50	24/03/1994	MOSA	TA	17	I	75	1//330	F	CSN	      
51	24/03/1994	MOSA	MN	18	J	53	1//340	M	SV	      
52	24/03/1994	MOSA	MN	21	J	54	1//650	M	SV	      
53	29/03/1994	MOSA	MN	14	J	39	1//110	F	PSN	      
54	29/03/1994	MOSA	MN	15	J	49	1//320	M	SV	      
55	06/04/1994	MOSA	MN	11	F	43	1//110	F	PSN	      
56	06/04/1994	MOSA	MN	16	I	39	1//130	F	PSN	      
57	06/04/1994	MOSA	MN	19	G	28	1//18	F	PSN	     CON  
58	06/04/1994	MOSA	MN	11	F	41	1//2100	M	SV	      
59	06/04/1994	MOSA	TA	17	A	80	1//3100	M	SV	      
60	06/04/1994	MOSA	MN	17	J	44	1//35	F	PSN	      
61	06/04/1994	MOSA	LR	6	D	48	1//350	M	SV	      
62	06/04/1994	MOSA	TA	9	A	86	1//360	M	SV	      
63	06/04/1994	MOSA	TA	10	G	61	1//370	F	CSN	      
64	06/04/1994	MOSA	TA	10	B	71	1//380	M	SV	      
65	06/04/1994	MOSA	MN	12	J	36	1//390	M	SV	      
66	06/04/1994	MOSA	MN	21	J	54	1//45	F	PSY	      
67	06/04/1994	MOSA	TA	27	C	77	1//46	F	PSN	      
68	06/04/1994	MOSA	MN	27	B	57	1//47	M	SV	      
69	06/04/1994	MOSA	TA	28	C	69	1//48	F	PSN	      
70	07/04/1994	MOSA	MN	6	E	55	1//1100	M	SV	      
71	07/04/1994	MOSA	MN	20	J	43	1//130	F	PSY	      
72	07/04/1994	MOSA	MN	11	B	55	1//15	M	SV	      
73	07/04/1994	MOSA	MN	20	I	27	1//18	F	CSN	     CON  
74	07/04/1994	MOSA	LR	11	H	53	1//410	F	PSN	      
75	07/04/1994	MOSA	LR	11	I	56	1//420	M	SV	      
76	07/04/1994	MOSA	MN	17	H	42	1//430	M	SV	      
77	07/04/1994	MOSA	MN	12	E	63	1//440	M	SV	      
